pair_id,idx_9000nm,idx_11000nm,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
43313_40433,43313,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9910255074501038
43312_40433,43312,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9910972118377686
43311_40433,43311,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9910921454429626
43310_40433,43310,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9911340475082397
43341_40433,43341,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9903378486633301
43340_40433,43340,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9904192686080933
43339_40433,43339,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.990455150604248
43338_40433,43338,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9904802441596985
43337_40433,43337,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9904568195343018
43336_40433,43336,40433,5.74609844612315,13.5,12.1,784,783,0.9987244897959183,0.9904686808586121
43335_40433,43335,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9904886484146118
43334_40433,43334,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9905471801757812
43301_40433,43301,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9916383624076843
43300_40433,43300,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9917640089988708
43299_40433,43299,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9918416738510132
43298_40433,43298,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9919522404670715
43349_40433,43349,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898803234100342
43347_40433,43347,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9900090098381042
43348_40433,43348,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9899187684059143
43342_40433,43342,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9902170896530151
43327_40433,43327,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9905868768692017
43329_40433,43329,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9906886219978333
43328_40433,43328,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9906463623046875
43331_40433,43331,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9906374216079712
43332_40433,43332,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9906371831893921
43333_40433,43333,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9905887246131897
43330_40433,43330,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9906189441680908
43346_40433,43346,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9900870323181152
43343_40433,43343,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9901179671287537
43345_40433,43345,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9901260137557983
43344_40433,43344,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9900795817375183
43410_40433,43410,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9907673597335815
43406_40433,43406,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.990314245223999
43407_40433,43407,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9905329346656799
43408_40433,43408,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9906188249588013
43414_40433,43414,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9909940361976624
43411_40433,43411,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9907893538475037
43409_40433,43409,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.990662157535553
43415_40433,43415,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9909475445747375
43418_40433,43418,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9911069273948669
43419_40433,43419,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9910661578178406
43417_40433,43417,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9910207390785217
43416_40433,43416,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9909505844116211
43390_40433,43390,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896337389945984
43420_40433,43420,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9909979104995728
43391_40433,43391,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896201491355896
43392_40433,43392,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896056652069092
43394_40433,43394,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9897800087928772
43393_40433,43393,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896938800811768
43395_40433,43395,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898201823234558
43398_40433,43398,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9899983406066895
43399_40433,43399,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9899981617927551
43400_40433,43400,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.990153431892395
43401_40433,43401,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9901867508888245
43402_40433,43402,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9902600049972534
43403_40433,43403,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.990388035774231
43404_40433,43404,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9905120134353638
43405_40433,43405,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9905210137367249
