pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43402_40433,43402,40433,5.74609844612315,784,784,1.0,0.9952756762504578
43403_40433,43403,40433,5.74609844612315,784,784,1.0,0.9953079223632812
43404_40433,43404,40433,5.74609844612315,784,784,1.0,0.9953526258468628
43405_40433,43405,40433,5.74609844612315,784,784,1.0,0.9953720569610596
43374_40433,43374,40433,5.74609844612315,784,784,1.0,0.9952887892723083
43375_40433,43375,40433,5.74609844612315,784,784,1.0,0.9952729940414429
43376_40433,43376,40433,5.74609844612315,784,784,1.0,0.9953185319900513
43377_40433,43377,40433,5.74609844612315,784,784,1.0,0.9952688217163086
43378_40433,43378,40433,5.74609844612315,784,784,1.0,0.9952462911605835
43379_40433,43379,40433,5.74609844612315,784,784,1.0,0.9952008724212646
43412_40433,43412,40433,5.74609844612315,784,784,1.0,0.9954959154129028
43413_40433,43413,40433,5.74609844612315,784,784,1.0,0.9955027103424072
43364_40433,43364,40433,5.74609844612315,784,784,1.0,0.9952270984649658
43365_40433,43365,40433,5.74609844612315,784,784,1.0,0.9952306747436523
43366_40433,43366,40433,5.74609844612315,784,784,1.0,0.9952530860900879
43367_40433,43367,40433,5.74609844612315,784,784,1.0,0.9952912330627441
43368_40433,43368,40433,5.74609844612315,784,784,1.0,0.9952837228775024
43369_40433,43369,40433,5.74609844612315,784,784,1.0,0.9953029155731201
43370_40433,43370,40433,5.74609844612315,784,784,1.0,0.9953161478042603
43371_40433,43371,40433,5.74609844612315,784,784,1.0,0.9953485727310181
43372_40433,43372,40433,5.74609844612315,784,782,0.9974489795918368,0.9953259825706482
43373_40433,43373,40433,5.74609844612315,784,784,1.0,0.9953189492225647
43380_40433,43380,40433,5.74609844612315,784,784,1.0,0.9951657652854919
43381_40433,43381,40433,5.74609844612315,784,784,1.0,0.9951534867286682
43382_40433,43382,40433,5.74609844612315,784,784,1.0,0.9951903820037842
43383_40433,43383,40433,5.74609844612315,784,784,1.0,0.9951741695404053
43384_40433,43384,40433,5.74609844612315,784,784,1.0,0.9951451420783997
43385_40433,43385,40433,5.74609844612315,784,784,1.0,0.9951295852661133
43386_40433,43386,40433,5.74609844612315,784,784,1.0,0.9951502680778503
43387_40433,43387,40433,5.74609844612315,784,784,1.0,0.995145857334137
43388_40433,43388,40433,5.74609844612315,784,784,1.0,0.9951786994934082
43389_40433,43389,40433,5.74609844612315,784,784,1.0,0.9951415061950684
43358_40433,43358,40433,5.74609844612315,784,784,1.0,0.9950785636901855
43359_40433,43359,40433,5.74609844612315,784,784,1.0,0.9950924515724182
43360_40433,43360,40433,5.74609844612315,784,784,1.0,0.9951222538948059
43361_40433,43361,40433,5.74609844612315,784,784,1.0,0.9951657652854919
43362_40433,43362,40433,5.74609844612315,784,784,1.0,0.9951568245887756
43363_40433,43363,40433,5.74609844612315,784,784,1.0,0.9951959848403931
43396_40433,43396,40433,5.74609844612315,784,784,1.0,0.9951735734939575
43397_40433,43397,40433,5.74609844612315,784,784,1.0,0.995227575302124
43302_40433,43302,40433,5.74609844612315,784,784,1.0,0.9958882331848145
43303_40433,43303,40433,5.74609844612315,784,784,1.0,0.9958674311637878
43304_40433,43304,40433,5.74609844612315,784,784,1.0,0.9958564043045044
43305_40433,43305,40433,5.74609844612315,784,784,1.0,0.9958410263061523
43306_40433,43306,40433,5.74609844612315,784,784,1.0,0.9958328604698181
43307_40433,43307,40433,5.74609844612315,784,784,1.0,0.9958112835884094
43308_40433,43308,40433,5.74609844612315,784,784,1.0,0.9957841634750366
43309_40433,43309,40433,5.74609844612315,784,784,1.0,0.9957345724105835
43292_40397,43292,40397,5.924778338956314,784,784,1.0,0.994654655456543
43293_40397,43293,40397,5.924778338956314,784,784,1.0,0.9946741461753845
43291_40397,43291,40397,5.924778338956314,784,784,1.0,0.994660496711731
43283_40397,43283,40397,5.924778338956314,784,784,1.0,0.9948412179946899
43286_40397,43286,40397,5.924778338956314,784,784,1.0,0.9947962760925293
43285_40397,43285,40397,5.924778338956314,784,784,1.0,0.994817316532135
43284_40397,43284,40397,5.924778338956314,784,784,1.0,0.9948374032974243
43287_40397,43287,40397,5.924778338956314,784,784,1.0,0.9947688579559326
43294_40397,43294,40397,5.924778338956314,784,784,1.0,0.9946179389953613
43290_40397,43290,40397,5.924778338956314,784,784,1.0,0.9946815371513367
43288_40397,43288,40397,5.924778338956314,784,784,1.0,0.9947776794433594
43289_40397,43289,40397,5.924778338956314,784,784,1.0,0.9947137832641602
43539_41615,43539,41615,6.295719753711419,784,784,1.0,0.9956332445144653
43538_41615,43538,41615,6.295719753711419,784,784,1.0,0.9956942200660706
43545_41615,43545,41615,6.295719753711419,784,784,1.0,0.9956291317939758
43546_41615,43546,41615,6.295719753711419,784,784,1.0,0.9956105947494507
43544_41615,43544,41615,6.295719753711419,784,784,1.0,0.9956585764884949
43541_41615,43541,41615,6.295719753711419,784,784,1.0,0.9956191182136536
43542_41615,43542,41615,6.295719753711419,784,784,1.0,0.9956657290458679
43543_41615,43543,41615,6.295719753711419,784,784,1.0,0.9956677556037903
43534_41615,43534,41615,6.295719753711419,784,784,1.0,0.9957331418991089
43535_41615,43535,41615,6.295719753711419,784,784,1.0,0.9957177042961121
43536_41615,43536,41615,6.295719753711419,784,784,1.0,0.9956883192062378
43537_41615,43537,41615,6.295719753711419,784,784,1.0,0.9957154989242554
43540_41615,43540,41615,6.295719753711419,784,784,1.0,0.9955945014953613
43506_40639,43506,40639,6.948864853109311,784,784,1.0,0.9949913620948792
43504_40639,43504,40639,6.948864853109311,784,784,1.0,0.9950124025344849
43505_40639,43505,40639,6.948864853109311,784,784,1.0,0.9949668049812317
43507_40639,43507,40639,6.948864853109311,784,784,1.0,0.9949367046356201
43508_40639,43508,40639,6.948864853109311,784,784,1.0,0.9949060678482056
43509_40639,43509,40639,6.948864853109311,784,784,1.0,0.9948333501815796
43510_40639,43510,40639,6.948864853109311,784,784,1.0,0.9947433471679688
43502_40639,43502,40639,6.948864853109311,784,784,1.0,0.9950164556503296
43503_40639,43503,40639,6.948864853109311,784,784,1.0,0.9950016736984253
43500_40639,43500,40639,6.948864853109311,784,784,1.0,0.9950482249259949
43501_40639,43501,40639,6.948864853109311,784,784,1.0,0.9950887560844421
43499_40639,43499,40639,6.948864853109311,784,784,1.0,0.9950533509254456
43580_41615,43580,41615,7.2827372775617265,784,784,1.0,0.9954096078872681
43550_41615,43550,41615,7.2827372775617265,784,784,1.0,0.9956272840499878
43581_41615,43581,41615,7.2827372775617265,784,784,1.0,0.9953845143318176
43552_41615,43552,41615,7.2827372775617265,784,784,1.0,0.9955840110778809
43564_41615,43564,41615,7.2827372775617265,784,784,1.0,0.9954690933227539
43553_41615,43553,41615,7.2827372775617265,784,784,1.0,0.9955690503120422
43551_41615,43551,41615,7.2827372775617265,784,784,1.0,0.9956187009811401
43556_41615,43556,41615,7.2827372775617265,784,784,1.0,0.9955321550369263
43557_41615,43557,41615,7.2827372775617265,784,784,1.0,0.9954906105995178
43558_41615,43558,41615,7.2827372775617265,784,784,1.0,0.9954930543899536
43559_41615,43559,41615,7.2827372775617265,784,784,1.0,0.9954986572265625
43570_41615,43570,41615,7.2827372775617265,784,784,1.0,0.9954239130020142
43569_41615,43569,41615,7.2827372775617265,784,784,1.0,0.995417058467865
43571_41615,43571,41615,7.2827372775617265,784,784,1.0,0.9953731894493103
43579_41615,43579,41615,7.2827372775617265,784,784,1.0,0.9954290390014648
43554_41615,43554,41615,7.2827372775617265,784,784,1.0,0.9955639243125916
43555_41615,43555,41615,7.2827372775617265,784,784,1.0,0.9955499768257141
43563_41615,43563,41615,7.2827372775617265,784,784,1.0,0.9953884482383728
43549_41615,43549,41615,7.2827372775617265,784,784,1.0,0.9956105351448059
43565_41615,43565,41615,7.2827372775617265,784,784,1.0,0.9954281449317932
43592_41615,43592,41615,7.2827372775617265,784,784,1.0,0.9951962828636169
43591_41615,43591,41615,7.2827372775617265,784,784,1.0,0.9952266216278076
43590_41615,43590,41615,7.2827372775617265,784,784,1.0,0.9952364563941956
43610_41615,43610,41615,7.2827372775617265,784,784,1.0,0.9950080513954163
43609_41615,43609,41615,7.2827372775617265,784,784,1.0,0.9950132369995117
43548_41615,43548,41615,7.2827372775617265,784,784,1.0,0.9956381916999817
43547_41615,43547,41615,7.2827372775617265,784,784,1.0,0.9956003427505493
43576_41615,43576,41615,7.2827372775617265,784,784,1.0,0.9954458475112915
43577_41615,43577,41615,7.2827372775617265,784,784,1.0,0.9954088926315308
43578_41615,43578,41615,7.2827372775617265,784,784,1.0,0.99544757604599
43611_41615,43611,41615,7.2827372775617265,784,784,1.0,0.994968593120575
43582_41615,43582,41615,7.2827372775617265,784,784,1.0,0.9953398704528809
43583_41615,43583,41615,7.2827372775617265,784,784,1.0,0.9952435493469238
43584_41615,43584,41615,7.2827372775617265,784,784,1.0,0.9952443838119507
43585_41615,43585,41615,7.2827372775617265,784,784,1.0,0.9952336549758911
43586_41615,43586,41615,7.2827372775617265,784,784,1.0,0.9952707886695862
43575_41615,43575,41615,7.2827372775617265,784,784,1.0,0.9954314827919006
43574_41615,43574,41615,7.2827372775617265,784,784,1.0,0.9954478740692139
43572_41615,43572,41615,7.2827372775617265,784,784,1.0,0.9954312443733215
43573_41615,43573,41615,7.2827372775617265,784,784,1.0,0.9954324960708618
43606_41615,43606,41615,7.2827372775617265,784,784,1.0,0.9949599504470825
43607_41615,43607,41615,7.2827372775617265,784,784,1.0,0.994983971118927
43608_41615,43608,41615,7.2827372775617265,784,784,1.0,0.9949997663497925
43600_41615,43600,41615,7.2827372775617265,784,784,1.0,0.9950933456420898
43599_41615,43599,41615,7.2827372775617265,784,784,1.0,0.995039701461792
43598_41615,43598,41615,7.2827372775617265,784,784,1.0,0.9950785040855408
43605_41615,43605,41615,7.2827372775617265,784,784,1.0,0.9949912428855896
43589_41615,43589,41615,7.2827372775617265,784,784,1.0,0.9952703714370728
43588_41615,43588,41615,7.2827372775617265,784,784,1.0,0.9952802062034607
43587_41615,43587,41615,7.2827372775617265,784,784,1.0,0.9952781796455383
43568_41615,43568,41615,7.2827372775617265,784,784,1.0,0.995398223400116
