pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
33343_29946,33343,29946,8.354211897294777,122,45,0.36885245901639346,0.3081075847148895
33345_29946,33345,29946,8.354211897294777,121,42,0.34710743801652894,0.2950599789619446
33344_29946,33344,29946,8.354211897294777,121,44,0.36363636363636365,0.3039923906326294
33351_29946,33351,29946,8.354211897294777,118,37,0.3135593220338983,0.296048641204834
42113_39690,42113,39690,9.339524113797484,21,13,0.6190476190476191,0.2510102391242981
42112_39690,42112,39690,9.339524113797484,11,7,0.6363636363636364,0.23572379350662231
42111_39690,42111,39690,9.339524113797484,14,8,0.5714285714285714,0.274684876203537
42110_39690,42110,39690,9.339524113797484,13,7,0.5384615384615384,0.26489728689193726
42105_39690,42105,39690,9.339524113797484,10,7,0.7,0.2767196297645569
42106_39690,42106,39690,9.339524113797484,8,7,0.875,0.23662009835243225
42126_39690,42126,39690,9.339524113797484,48,31,0.6458333333333334,0.31050214171409607
42114_39690,42114,39690,9.339524113797484,23,13,0.5652173913043478,0.2829051911830902
42120_39690,42120,39690,9.339524113797484,27,17,0.6296296296296297,0.27467280626296997
42121_39690,42121,39690,9.339524113797484,21,15,0.7142857142857143,0.3015100061893463
42122_39690,42122,39690,9.339524113797484,23,18,0.782608695652174,0.3126881718635559
42123_39690,42123,39690,9.339524113797484,24,20,0.8333333333333334,0.3163755238056183
42124_39690,42124,39690,9.339524113797484,37,26,0.7027027027027027,0.33195462822914124
