pair_id,idx_9000nm,idx_pan,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43538_25413,43538,25413,9.00142301021266,34,16,0.47058823529411764,0.27458012104034424
43537_25413,43537,25413,9.00142301021266,29,14,0.4827586206896552,0.28270575404167175
43536_25413,43536,25413,9.00142301021266,29,17,0.5862068965517241,0.2789299190044403
43535_25413,43535,25413,9.00142301021266,54,22,0.4074074074074074,0.3021399974822998
43534_25413,43534,25413,9.00142301021266,53,20,0.37735849056603776,0.31167978048324585
43546_25413,43546,25413,9.00142301021266,31,16,0.5161290322580645,0.2712309956550598
43545_25413,43545,25413,9.00142301021266,32,17,0.53125,0.25884586572647095
43543_25413,43543,25413,9.00142301021266,27,13,0.48148148148148145,0.27380338311195374
43542_25413,43542,25413,9.00142301021266,36,17,0.4722222222222222,0.2679362893104553
43544_25413,43544,25413,9.00142301021266,39,17,0.4358974358974359,0.27652183175086975
43540_25413,43540,25413,9.00142301021266,37,17,0.4594594594594595,0.29484090209007263
43541_25413,43541,25413,9.00142301021266,34,15,0.4411764705882353,0.29713428020477295
43539_25413,43539,25413,9.00142301021266,41,16,0.3902439024390244,0.2756955325603485
52726_34297,52726,34297,9.053574973594095,19,16,0.8421052631578947,0.2675984501838684
52718_34297,52718,34297,9.053574973594095,17,14,0.8235294117647058,0.27496105432510376
52722_34297,52722,34297,9.053574973594095,20,13,0.65,0.3096603453159332
52723_34297,52723,34297,9.053574973594095,24,16,0.6666666666666666,0.293996125459671
52724_34297,52724,34297,9.053574973594095,23,14,0.6086956521739131,0.2928577959537506
52714_34297,52714,34297,9.053574973594095,13,7,0.5384615384615384,0.3322395980358124
52719_34297,52719,34297,9.053574973594095,23,17,0.7391304347826086,0.26994362473487854
52730_34297,52730,34297,9.053574973594095,22,15,0.6818181818181818,0.2897176146507263
52708_34297,52708,34297,9.053574973594095,11,7,0.6363636363636364,0.2791363000869751
52707_34297,52707,34297,9.053574973594095,16,13,0.8125,0.2599446177482605
52727_34297,52727,34297,9.053574973594095,16,11,0.6875,0.2840134799480438
52715_34297,52715,34297,9.053574973594095,19,14,0.7368421052631579,0.29113155603408813
52713_34297,52713,34297,9.053574973594095,16,14,0.875,0.29072901606559753
52712_34297,52712,34297,9.053574973594095,14,8,0.5714285714285714,0.27692070603370667
52710_34297,52710,34297,9.053574973594095,21,18,0.8571428571428571,0.2994175851345062
52720_34297,52720,34297,9.053574973594095,21,16,0.7619047619047619,0.2978769838809967
52717_34297,52717,34297,9.053574973594095,11,7,0.6363636363636364,0.2684430778026581
52725_34297,52725,34297,9.053574973594095,20,15,0.75,0.2682214081287384
52711_34297,52711,34297,9.053574973594095,16,14,0.875,0.29605650901794434
52721_34297,52721,34297,9.053574973594095,20,15,0.75,0.33287519216537476
52709_34297,52709,34297,9.053574973594095,13,7,0.5384615384615384,0.29011136293411255
52728_34297,52728,34297,9.053574973594095,17,13,0.7647058823529411,0.267762154340744
52716_34297,52716,34297,9.053574973594095,19,15,0.7894736842105263,0.2536633014678955
52729_34297,52729,34297,9.053574973594095,21,14,0.6666666666666666,0.26637667417526245
49986_37133,49986,37133,9.26101289537282,11,7,0.6363636363636364,0.2364649921655655
49996_37133,49996,37133,9.26101289537282,17,13,0.7647058823529411,0.28238070011138916
49995_37133,49995,37133,9.26101289537282,18,11,0.6111111111111112,0.28176701068878174
49987_37133,49987,37133,9.26101289537282,19,11,0.5789473684210527,0.2858298420906067
49991_37133,49991,37133,9.26101289537282,13,7,0.5384615384615384,0.2865701913833618
49988_37133,49988,37133,9.26101289537282,18,10,0.5555555555555556,0.27223166823387146
49989_37133,49989,37133,9.26101289537282,21,11,0.5238095238095238,0.2676204741001129
49994_37133,49994,37133,9.26101289537282,14,8,0.5714285714285714,0.25661948323249817
49993_37133,49993,37133,9.26101289537282,11,7,0.6363636363636364,0.2931511104106903
49992_37133,49992,37133,9.26101289537282,11,7,0.6363636363636364,0.2815702259540558
49985_37133,49985,37133,9.26101289537282,12,7,0.5833333333333334,0.2802872061729431
49990_37133,49990,37133,9.26101289537282,15,9,0.6,0.26850834488868713
43528_25440,43528,25440,9.313261154392697,28,17,0.6071428571428571,0.28789016604423523
43523_25440,43523,25440,9.313261154392697,19,11,0.5789473684210527,0.32167482376098633
43524_25440,43524,25440,9.313261154392697,22,12,0.5454545454545454,0.3095169961452484
43533_25440,43533,25440,9.313261154392697,39,18,0.46153846153846156,0.2757526934146881
43522_25440,43522,25440,9.313261154392697,29,14,0.4827586206896552,0.2999100983142853
43531_25440,43531,25440,9.313261154392697,25,15,0.6,0.28429388999938965
43530_25440,43530,25440,9.313261154392697,27,13,0.48148148148148145,0.29867157340049744
43529_25440,43529,25440,9.313261154392697,32,15,0.46875,0.2877618670463562
43532_25440,43532,25440,9.313261154392697,31,16,0.5161290322580645,0.2825247645378113
43526_25440,43526,25440,9.313261154392697,37,19,0.5135135135135135,0.30641472339630127
43527_25440,43527,25440,9.313261154392697,43,23,0.5348837209302325,0.27658146619796753
43525_25440,43525,25440,9.313261154392697,25,12,0.48,0.2802729606628418
52553_34671,52553,34671,9.549440401391353,2,0,0.0,0.23372802138328552
52554_34671,52554,34671,9.549440401391353,2,0,0.0,0.206915944814682
