pair_id,idx_11000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
42063_25413,42063,25413,7.024347694522669,12.0,11.9,784,774,0.9872448979591837,0.9710411429405212
42062_25413,42062,25413,7.024347694522669,12.0,11.9,784,770,0.9821428571428571,0.9710419178009033
42061_25413,42061,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9707498550415039
42060_25413,42060,25413,7.024347694522669,12.0,11.9,784,783,0.9987244897959183,0.9710378646850586
42059_25413,42059,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9711999893188477
42058_25413,42058,25413,7.024347694522669,12.0,11.9,784,781,0.9961734693877551,0.9710288643836975
42057_25413,42057,25413,7.024347694522669,12.0,11.9,784,781,0.9961734693877551,0.9707870483398438
42056_25413,42056,25413,7.024347694522669,12.0,11.9,784,781,0.9961734693877551,0.9705647230148315
42055_25413,42055,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9709667563438416
42054_25413,42054,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9713168740272522
42021_25413,42021,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9731051325798035
42020_25413,42020,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9726693034172058
42051_25413,42051,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9717204570770264
42050_25413,42050,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9715049862861633
42049_25413,42049,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.971863865852356
42048_25413,42048,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723185300827026
42047_25413,42047,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723696112632751
42046_25413,42046,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972082257270813
42045_25413,42045,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9722254872322083
42044_25413,42044,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9720613360404968
42043_25413,42043,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9721821546554565
42042_25413,42042,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9718726277351379
42041_25413,42041,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9719735980033875
42040_25413,42040,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9720427989959717
42039_25413,42039,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9719456434249878
42038_25413,42038,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9718150496482849
42005_25413,42005,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9736676812171936
42004_25413,42004,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9741079211235046
42035_25413,42035,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.971808671951294
42034_25413,42034,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9718407392501831
42033_25413,42033,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9717673659324646
42032_25413,42032,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9715485572814941
42031_25413,42031,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972003698348999
42030_25413,42030,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9720735549926758
42029_25413,42029,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972108781337738
42028_25413,42028,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723725318908691
42027_25413,42027,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9721723198890686
42026_25413,42026,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9721581339836121
42025_25413,42025,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9720746874809265
42024_25413,42024,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9724143743515015
42023_25413,42023,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9724996089935303
42022_25413,42022,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9727020263671875
41989_25413,41989,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.973535418510437
41988_25413,41988,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9735958576202393
42019_25413,42019,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9727824330329895
42018_25413,42018,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9729234576225281
42017_25413,42017,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9731038808822632
42016_25413,42016,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9731656908988953
42015_25413,42015,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734153151512146
42014_25413,42014,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734577536582947
42013_25413,42013,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9735063910484314
42012_25413,42012,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9731865525245667
42011_25413,42011,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9728704690933228
42010_25413,42010,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9735097885131836
42009_25413,42009,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734008312225342
42008_25413,42008,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9733952283859253
42007_25413,42007,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734253883361816
42006_25413,42006,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.973504364490509
41973_25413,41973,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9716448783874512
41972_25413,41972,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9716235399246216
42003_25413,42003,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9745033383369446
42002_25413,42002,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9745503067970276
42001_25413,42001,25413,7.024347694522669,12.0,11.9,784,782,0.9974489795918368,0.9742593765258789
42000_25413,42000,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9743316173553467
